11	Agriculture, Forestry, Fishing and HuntingT
111	Crop ProductionT 
1111	Oilseed and Grain FarmingT
11111	Soybean FarmingT
111110	Soybean Farming
11112	Oilseed (except Soybean) FarmingT 
111120	Oilseed (except Soybean) Farming 
11113	Dry Pea and Bean FarmingT
111130	Dry Pea and Bean Farming 
11114	Wheat FarmingT
111140	Wheat Farming
11115	Corn FarmingT
111150	Corn Farming 
11116	Rice FarmingT
111160	Rice Farming
11119	Other Grain FarmingT
111191	Oilseed and Grain Combination Farming 
111199	All Other Grain Farming 
1112	Vegetable and Melon FarmingT 
11121	Vegetable and Melon FarmingT
111211	Potato Farming 
111219	Other Vegetable (except Potato) and Melon Farming 
1113	Fruit and Tree Nut FarmingT 
11131	Orange GrovesT
111310	Orange Groves
11132	Citrus (except Orange) GrovesT 
111320	Citrus (except Orange) Groves 
11133	Noncitrus Fruit and Tree Nut FarmingT
111331	Apple Orchards 
111332	Grape Vineyards 
111333	Strawberry Farming 
111334	Berry (except Strawberry) Farming 
111335	Tree Nut Farming 
111336	Fruit and Tree Nut Combination Farming 
111339	Other Noncitrus Fruit Farming 
1114	Greenhouse, Nursery, and Floriculture ProductionT 
11141	Food Crops Grown Under CoverT
111411	Mushroom Production 
111419	Other Food Crops Grown Under Cover 
11142	Nursery and Floriculture ProductionT
111421	Nursery and Tree Production 
111422	Floriculture Production 
1119	Other Crop FarmingT 
11191	Tobacco FarmingT
111910	Tobacco Farming
11192	Cotton FarmingT
111920	Cotton Farming
11193	Sugarcane FarmingT 
111930	Sugarcane Farming
11194	Hay FarmingT 
111940	Hay Farming 
11199	All Other Crop FarmingT 
111991	Sugar Beet Farming 
111992	Peanut Farming 
111998	All Other Miscellaneous Crop Farming 
112	Animal Production and AquacultureT 
1121	Cattle Ranching and FarmingT 
11211	Beef Cattle Ranching and Farming, including FeedlotsT 
112111	Beef Cattle Ranching and Farming 
112112	Cattle Feedlots 
11212	Dairy Cattle and Milk ProductionT
112120	Dairy Cattle and Milk Production
11213	Dual-Purpose Cattle Ranching and FarmingT 
112130	Dual-Purpose Cattle Ranching and Farming 
1122	Hog and Pig FarmingT 
11221	Hog and Pig FarmingT 
112210	Hog and Pig Farming 
1123	Poultry and Egg ProductionT 
11231	Chicken Egg ProductionT 
112310	Chicken Egg Production 
11232	Broilers and Other Meat Type Chicken ProductionT 
112320	Broilers and Other Meat Type Chicken Production 
11233	Turkey ProductionT
112330	Turkey Production
11234	Poultry HatcheriesT 
112340	Poultry Hatcheries
11239	Other Poultry ProductionT 
112390	Other Poultry Production 
1124	Sheep and Goat FarmingT 
11241	Sheep FarmingT 
112410	Sheep Farming
11242	Goat FarmingT
112420	Goat Farming
1125	AquacultureT 
11251	AquacultureT 
112511	Finfish Farming and Fish Hatcheries 
112512	Shellfish Farming 
112519	Other Aquaculture 
1129	Other Animal ProductionT 
11291	ApicultureT
112910	Apiculture
11292	Horses and Other Equine ProductionT 
112920	Horses and Other Equine Production
11293	Fur-Bearing Animal and Rabbit ProductionT 
112930	Fur-Bearing Animal and Rabbit Production
11299	All Other Animal ProductionT 
112990	All Other Animal Production 
113	Forestry and LoggingT 
1131	Timber Tract OperationsT 
11311	Timber Tract OperationsT 
113110	Timber Tract Operations
1132	Forest Nurseries and Gathering of Forest ProductsT 
11321	Forest Nurseries and Gathering of Forest ProductsT 
113210	Forest Nurseries and Gathering of Forest Products 
1133	LoggingT 
11331	LoggingT 
113310	Logging 
114	Fishing, Hunting and TrappingT 
1141	FishingT 
11411	FishingT 
114111	Finfish Fishing 
114112	Shellfish Fishing 
114119	Other Marine Fishing 
1142	Hunting and TrappingT 
11421	Hunting and TrappingT 
114210	Hunting and Trapping
115	Support Activities for Agriculture and ForestryT 
1151	Support Activities for Crop ProductionT 
11511	Support Activities for Crop ProductionT 
115111	Cotton Ginning 
115112	Soil Preparation, Planting, and Cultivating 
115113	Crop Harvesting, Primarily by Machine 
115114	Postharvest Crop Activities (except Cotton Ginning) 
115115	Farm Labor Contractors and Crew Leaders 
115116	Farm Management Services 
1152	Support Activities for Animal ProductionT 
11521	Support Activities for Animal ProductionT 
115210	Support Activities for Animal Production
1153	Support Activities for ForestryT 
11531	Support Activities for ForestryT 
115310	Support Activities for Forestry
	
21	Mining, Quarrying, and Oil and Gas ExtractionT
211	Oil and Gas ExtractionT 
2111	Oil and Gas ExtractionT 
21112	Crude Petroleum Extraction 
211120	Crude Petroleum Extraction 
21113	Natural Gas Extraction 
211130	Natural Gas Extraction 
212	Mining (except Oil and Gas)T 
2121	Coal MiningT 
21211	Coal MiningT 
212114	Surface Coal Mining
212115	Underground Coal Mining
2122	Metal Ore MiningT 
21221	Iron Ore MiningT 
212210	Iron Ore Mining
21222	Gold Ore and Silver Ore MiningT 
212220	Gold Ore and Silver Ore Mining
21223	Copper, Nickel, Lead, and Zinc MiningT 
212230	Copper, Nickel, Lead, and Zinc Mining
21229	Other Metal Ore MiningT 
212290	Other Metal Ore Mining
2123	Nonmetallic Mineral Mining and QuarryingT 
21231	Stone Mining and QuarryingT 
212311	Dimension Stone Mining and Quarrying 
212312	Crushed and Broken Limestone Mining and Quarrying 
212313	Crushed and Broken Granite Mining and Quarrying 
212319	Other Crushed and Broken Stone Mining and Quarrying 
21232	Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and QuarryingT 
212321	Construction Sand and Gravel Mining 
212322	Industrial Sand Mining 
212323	Kaolin, Clay, and Ceramic and Refractory Minerals Mining 
21239	Other Nonmetallic Mineral Mining and QuarryingT 
212390	Other Nonmetallic Mineral Mining and Quarrying 
213	Support Activities for MiningT 
2131	Support Activities for MiningT 
21311	Support Activities for MiningT 
213111	Drilling Oil and Gas Wells
213112	Support Activities for Oil and Gas Operations 
213113	Support Activities for Coal Mining 
213114	Support Activities for Metal Mining 
213115	Support Activities for Nonmetallic Minerals (except Fuels) Mining 
	
22	UtilitiesT
221	UtilitiesT 
2211	Electric Power Generation, Transmission and DistributionT
22111	Electric Power GenerationT 
221111	Hydroelectric Power Generation 
221112	Fossil Fuel Electric Power Generation 
221113	Nuclear Electric Power Generation 
221114	Solar Electric Power Generation 
221115	Wind Electric Power Generation 
221116	Geothermal Electric Power Generation 
221117	Biomass Electric Power Generation 
221118	Other Electric Power Generation 
22112	Electric Power Transmission, Control, and DistributionT 
221121	Electric Bulk Power Transmission and Control 
221122	Electric Power Distribution 
2212	Natural Gas DistributionT 
22121	Natural Gas DistributionT 
221210	Natural Gas Distribution 
2213	Water, Sewage and Other SystemsT 
22131	Water Supply and Irrigation Systems 
221310	Water Supply and Irrigation Systems 
22132	Sewage Treatment Facilities 
221320	Sewage Treatment Facilities 
22133	Steam and Air-Conditioning Supply 
221330	Steam and Air-Conditioning Supply 
	
23	ConstructionT
236	Construction of BuildingsT 
2361	Residential Building ConstructionT 
23611	Residential Building ConstructionT 
236115	New Single-Family Housing Construction (except For-Sale Builders) 
236116	New Multifamily Housing Construction (except For-Sale Builders) 
236117	New Housing For-Sale Builders 
236118	Residential Remodelers 
2362	Nonresidential Building ConstructionT 
23621	Industrial Building ConstructionT 
236210	Industrial Building Construction 
23622	Commercial and Institutional Building ConstructionT 
236220	Commercial and Institutional Building Construction 
237	Heavy and Civil Engineering ConstructionT 
2371	Utility System ConstructionT
23711	Water and Sewer Line and Related Structures ConstructionT 
237110	Water and Sewer Line and Related Structures Construction 
23712	Oil and Gas Pipeline and Related Structures ConstructionT 
237120	Oil and Gas Pipeline and Related Structures Construction 
23713	Power and Communication Line and Related Structures ConstructionT 
237130	Power and Communication Line and Related Structures Construction 
2372	Land SubdivisionT 
23721	Land SubdivisionT 
237210	Land Subdivision 
2373	Highway, Street, and Bridge ConstructionT 
23731	Highway, Street, and Bridge ConstructionT 
237310	Highway, Street, and Bridge Construction 
2379	Other Heavy and Civil Engineering ConstructionT 
23799	Other Heavy and Civil Engineering ConstructionT
237990	Other Heavy and Civil Engineering Construction 
238	Specialty Trade ContractorsT 
2381	Foundation, Structure, and Building Exterior ContractorsT 
23811	Poured Concrete Foundation and Structure Contractors 
238110	Poured Concrete Foundation and Structure Contractors 
23812	Structural Steel and Precast Concrete Contractors 
238120	Structural Steel and Precast Concrete Contractors 
23813	Framing Contractors 
238130	Framing Contractors 
23814	Masonry Contractors 
238140	Masonry Contractors 
23815	Glass and Glazing Contractors 
238150	Glass and Glazing Contractors 
23816	Roofing Contractors 
238160	Roofing Contractors 
23817	Siding Contractors 
238170	Siding Contractors 
23819	Other Foundation, Structure, and Building Exterior Contractors 
238190	Other Foundation, Structure, and Building Exterior Contractors 
2382	Building Equipment ContractorsT 
23821	Electrical Contractors and Other Wiring Installation ContractorsT 
238210	Electrical Contractors and Other Wiring Installation Contractors
23822	Plumbing, Heating, and Air-Conditioning ContractorsT 
238220	Plumbing, Heating, and Air-Conditioning Contractors 
23829	Other Building Equipment ContractorsT 
238290	Other Building Equipment Contractors 
2383	Building Finishing ContractorsT 
23831	Drywall and Insulation ContractorsT 
238310	Drywall and Insulation Contractors 
23832	Painting and Wall Covering ContractorsT 
238320	Painting and Wall Covering Contractors
23833	Flooring ContractorsT 
238330	Flooring Contractors
23834	Tile and Terrazzo ContractorsT
238340	Tile and Terrazzo Contractors
23835	Finish Carpentry ContractorsT 
238350	Finish Carpentry Contractors
23839	Other Building Finishing ContractorsT 
238390	Other Building Finishing Contractors
2389	Other Specialty Trade ContractorsT 
23891	Site Preparation ContractorsT 
238910	Site Preparation Contractors
23899	All Other Specialty Trade ContractorsT 
238990	All Other Specialty Trade Contractors
	
31-33	ManufacturingT
311	Food ManufacturingT 
3111	Animal Food ManufacturingT 
31111	Animal Food ManufacturingT 
311111	Dog and Cat Food Manufacturing 
311119	Other Animal Food Manufacturing 
3112	Grain and Oilseed MillingT 
31121	Flour Milling and Malt ManufacturingT 
311211	Flour Milling 
311212	Rice Milling 
311213	Malt Manufacturing 
31122	Starch and Vegetable Fats and Oils ManufacturingT 
311221	Wet Corn Milling and Starch Manufacturing 
311224	Soybean and Other Oilseed Processing 
311225	Fats and Oils Refining and Blending 
31123	Breakfast Cereal ManufacturingT 
311230	Breakfast Cereal Manufacturing
3113	Sugar and Confectionery Product ManufacturingT 
31131	Sugar ManufacturingT 
311313	Beet Sugar Manufacturing 
311314	Cane Sugar Manufacturing 
31134	Nonchocolate Confectionery ManufacturingT 
311340	Nonchocolate Confectionery Manufacturing
31135	Chocolate and Confectionery ManufacturingT 
311351	Chocolate and Confectionery Manufacturing from Cacao Beans 
311352	Confectionery Manufacturing from Purchased Chocolate 
3114	Fruit and Vegetable Preserving and Specialty Food ManufacturingT 
31141	Frozen Food ManufacturingT 
311411	Frozen Fruit, Juice, and Vegetable Manufacturing 
311412	Frozen Specialty Food Manufacturing 
31142	Fruit and Vegetable Canning, Pickling, and DryingT 
311421	Fruit and Vegetable Canning 
311422	Specialty Canning 
311423	Dried and Dehydrated Food Manufacturing 
3115	Dairy Product ManufacturingT 
31151	Dairy Product (except Frozen) ManufacturingT 
311511	Fluid Milk Manufacturing 
311512	Creamery Butter Manufacturing 
311513	Cheese Manufacturing 
311514	Dry, Condensed, and Evaporated Dairy Product Manufacturing 
31152	Ice Cream and Frozen Dessert ManufacturingT 
311520	Ice Cream and Frozen Dessert Manufacturing
3116	Animal Slaughtering and ProcessingT 
31161	Animal Slaughtering and ProcessingT 
311611	Animal (except Poultry) Slaughtering 
311612	Meat Processed from Carcasses 
311613	Rendering and Meat Byproduct Processing 
311615	Poultry Processing 
3117	Seafood Product Preparation and PackagingT 
31171	Seafood Product Preparation and PackagingT 
311710	Seafood Product Preparation and Packaging
3118	Bakeries and Tortilla ManufacturingT 
31181	Bread and Bakery Product ManufacturingT 
311811	Retail Bakeries 
311812	Commercial Bakeries 
311813	Frozen Cakes, Pies, and Other Pastries Manufacturing 
31182	Cookie, Cracker, and Pasta ManufacturingT 
311821	Cookie and Cracker Manufacturing 
311824	Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour 
31183	Tortilla ManufacturingT 
311830	Tortilla Manufacturing
3119	Other Food ManufacturingT 
31191	Snack Food ManufacturingT 
311911	Roasted Nuts and Peanut Butter Manufacturing 
311919	Other Snack Food Manufacturing 
31192	Coffee and Tea ManufacturingT 
311920	Coffee and Tea Manufacturing 
31193	Flavoring Syrup and Concentrate ManufacturingT 
311930	Flavoring Syrup and Concentrate Manufacturing
31194	Seasoning and Dressing ManufacturingT 
311941	Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing 
311942	Spice and Extract Manufacturing 
31199	All Other Food ManufacturingT 
311991	Perishable Prepared Food Manufacturing 
311999	All Other Miscellaneous Food Manufacturing 
312	Beverage and Tobacco Product ManufacturingT 
3121	Beverage ManufacturingT 
31211	Soft Drink and Ice ManufacturingT 
312111	Soft Drink Manufacturing 
312112	Bottled Water Manufacturing 
312113	Ice Manufacturing 
31212	BreweriesT 
312120	Breweries
31213	WineriesT 
312130	Wineries 
31214	DistilleriesT 
312140	Distilleries 
3122	Tobacco ManufacturingT 
31223	Tobacco Manufacturing
312230	Tobacco Manufacturing 
313	Textile MillsT 
3131	Fiber, Yarn, and Thread MillsT 
31311	Fiber, Yarn, and Thread MillsT 
313110	Fiber, Yarn, and Thread Mills 
3132	Fabric MillsT 
31321	Broadwoven Fabric MillsT 
313210	Broadwoven Fabric Mills
31322	Narrow Fabric Mills and Schiffli Machine EmbroideryT 
313220	Narrow Fabric Mills and Schiffli Machine Embroidery
31323	Nonwoven Fabric MillsT 
313230	Nonwoven Fabric Mills
31324	Knit Fabric MillsT 
313240	Knit Fabric Mills
3133	Textile and Fabric Finishing and Fabric Coating MillsT 
31331	Textile and Fabric Finishing MillsT
313310	Textile and Fabric Finishing Mills 
31332	Fabric Coating MillsT 
313320	Fabric Coating Mills
314	Textile Product MillsT 
3141	Textile Furnishings MillsT 
31411	Carpet and Rug MillsT 
314110	Carpet and Rug Mills
31412	Curtain and Linen MillsT 
314120	Curtain and Linen Mills
3149	Other Textile Product MillsT 
31491	Textile Bag and Canvas MillsT 
314910	Textile Bag and Canvas Mills 
31499	All Other Textile Product MillsT 
314994	Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills 
314999	All Other Miscellaneous Textile Product Mills 
315	Apparel ManufacturingT 
3151	Apparel Knitting MillsT 
31512	Apparel Knitting MillsT 
315120	Apparel Knitting Mills
3152	Cut and Sew Apparel ManufacturingT 
31521	Cut and Sew Apparel Contractors 
315210	Cut and Sew Apparel Contractors 
31525	Cut and Sew Apparel Manufacturing (except Contractors) 
315250	Cut and Sew Apparel Manufacturing (except Contractors) 
3159	Apparel Accessories and Other Apparel ManufacturingT 
31599	Apparel Accessories and Other Apparel ManufacturingT 
315990	Apparel Accessories and Other Apparel Manufacturing 
316	Leather and Allied Product ManufacturingT 
3161	Leather and Hide Tanning and FinishingT 
31611	Leather and Hide Tanning and FinishingT 
316110	Leather and Hide Tanning and Finishing
3162	Footwear ManufacturingT 
31621	Footwear ManufacturingT 
316210	Footwear Manufacturing 
3169	Other Leather and Allied Product ManufacturingT 
31699	Other Leather and Allied Product ManufacturingT 
316990	Other Leather and Allied Product Manufacturing 
321	Wood Product ManufacturingT 
3211	Sawmills and Wood PreservationT 
32111	Sawmills and Wood PreservationT 
321113	Sawmills 
321114	Wood Preservation 
3212	Veneer, Plywood, and Engineered Wood Product ManufacturingT 
32121	Veneer, Plywood, and Engineered Wood Product ManufacturingT 
321211	Hardwood Veneer and Plywood Manufacturing 
321212	Softwood Veneer and Plywood Manufacturing 
321215	Engineered Wood Member Manufacturing 
321219	Reconstituted Wood Product Manufacturing 
3219	Other Wood Product ManufacturingT 
32191	MillworkT 
321911	Wood Window and Door Manufacturing 
321912	Cut Stock, Resawing Lumber, and Planing 
321918	Other Millwork (including Flooring) 
32192	Wood Container and Pallet ManufacturingT 
321920	Wood Container and Pallet Manufacturing
32199	All Other Wood Product ManufacturingT 
321991	Manufactured Home (Mobile Home) Manufacturing 
321992	Prefabricated Wood Building Manufacturing 
321999	All Other Miscellaneous Wood Product Manufacturing 
322	Paper ManufacturingT 
3221	Pulp, Paper, and Paperboard MillsT 
32211	Pulp MillsT 
322110	Pulp Mills 
32212	Paper MillsT 
322120	Paper Mills 
32213	Paperboard MillsT 
322130	Paperboard Mills 
3222	Converted Paper Product ManufacturingT 
32221	Paperboard Container ManufacturingT 
322211	Corrugated and Solid Fiber Box Manufacturing 
322212	Folding Paperboard Box Manufacturing 
322219	Other Paperboard Container Manufacturing 
32222	Paper Bag and Coated and Treated Paper ManufacturingT 
322220	Paper Bag and Coated and Treated Paper Manufacturing
32223	Stationery Product ManufacturingT 
322230	Stationery Product Manufacturing
32229	Other Converted Paper Product ManufacturingT 
322291	Sanitary Paper Product Manufacturing 
322299	All Other Converted Paper Product Manufacturing 
323	Printing and Related Support ActivitiesT 
3231	Printing and Related Support ActivitiesT 
32311	PrintingT 
323111	Commercial Printing (except Screen and Books) 
323113	Commercial Screen Printing 
323117	Books Printing 
32312	Support Activities for PrintingT 
323120	Support Activities for Printing
324	Petroleum and Coal Products ManufacturingT 
3241	Petroleum and Coal Products ManufacturingT 
32411	Petroleum RefineriesT 
324110	Petroleum Refineries
32412	Asphalt Paving, Roofing, and Saturated Materials ManufacturingT 
324121	Asphalt Paving Mixture and Block Manufacturing 
324122	Asphalt Shingle and Coating Materials Manufacturing 
32419	Other Petroleum and Coal Products ManufacturingT 
324191	Petroleum Lubricating Oil and Grease Manufacturing 
324199	All Other Petroleum and Coal Products Manufacturing 
325	Chemical ManufacturingT 
3251	Basic Chemical ManufacturingT 
32511	Petrochemical ManufacturingT 
325110	Petrochemical Manufacturing
32512	Industrial Gas ManufacturingT 
325120	Industrial Gas Manufacturing
32513	Synthetic Dye and Pigment ManufacturingT 
325130	Synthetic Dye and Pigment Manufacturing
32518	Other Basic Inorganic Chemical ManufacturingT 
325180	Other Basic Inorganic Chemical Manufacturing 
32519	Other Basic Organic Chemical ManufacturingT 
325193	Ethyl Alcohol Manufacturing 
325194	Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing 
325199	All Other Basic Organic Chemical Manufacturing 
3252	Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments ManufacturingT 
32521	Resin and Synthetic Rubber ManufacturingT 
325211	Plastics Material and Resin Manufacturing 
325212	Synthetic Rubber Manufacturing 
32522	Artificial and Synthetic Fibers and Filaments ManufacturingT 
325220	Artificial and Synthetic Fibers and Filaments Manufacturing
3253	Pesticide, Fertilizer, and Other Agricultural Chemical ManufacturingT 
32531	Fertilizer and Compost ManufacturingT 
325311	Nitrogenous Fertilizer Manufacturing 
325312	Phosphatic Fertilizer Manufacturing 
325314	Fertilizer (Mixing Only) Manufacturing 
325315	Compost Manufacturing
32532	Pesticide and Other Agricultural Chemical ManufacturingT 
325320	Pesticide and Other Agricultural Chemical Manufacturing
3254	Pharmaceutical and Medicine ManufacturingT 
32541	Pharmaceutical and Medicine ManufacturingT 
325411	Medicinal and Botanical Manufacturing 
325412	Pharmaceutical Preparation Manufacturing 
325413	In-Vitro Diagnostic Substance Manufacturing 
325414	Biological Product (except Diagnostic) Manufacturing 
3255	Paint, Coating, and Adhesive ManufacturingT 
32551	Paint and Coating ManufacturingT 
325510	Paint and Coating Manufacturing
32552	Adhesive ManufacturingT 
325520	Adhesive Manufacturing
3256	Soap, Cleaning Compound, and Toilet Preparation ManufacturingT 
32561	Soap and Cleaning Compound ManufacturingT 
325611	Soap and Other Detergent Manufacturing 
325612	Polish and Other Sanitation Good Manufacturing 
325613	Surface Active Agent Manufacturing 
32562	Toilet Preparation ManufacturingT 
325620	Toilet Preparation Manufacturing
3259	Other Chemical Product and Preparation ManufacturingT 
32591	Printing Ink ManufacturingT 
325910	Printing Ink Manufacturing
32592	Explosives ManufacturingT 
325920	Explosives Manufacturing
32599	All Other Chemical Product and Preparation ManufacturingT 
325991	Custom Compounding of Purchased Resins 
325992	Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing 
325998	All Other Miscellaneous Chemical Product and Preparation Manufacturing 
326	Plastics and Rubber Products ManufacturingT 
3261	Plastics Product ManufacturingT 
32611	Plastics Packaging Materials and Unlaminated Film and Sheet ManufacturingT 
326111	Plastics Bag and Pouch Manufacturing 
326112	Plastics Packaging Film and Sheet (including Laminated) Manufacturing 
326113	Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing 
32612	Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape ManufacturingT 
326121	Unlaminated Plastics Profile Shape Manufacturing 
326122	Plastics Pipe and Pipe Fitting Manufacturing 
32613	Laminated Plastics Plate, Sheet (except Packaging), and Shape ManufacturingT 
326130	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing
32614	Polystyrene Foam Product ManufacturingT 
326140	Polystyrene Foam Product Manufacturing
32615	Urethane and Other Foam Product (except Polystyrene) ManufacturingT 
326150	Urethane and Other Foam Product (except Polystyrene) Manufacturing
32616	Plastics Bottle ManufacturingT 
326160	Plastics Bottle Manufacturing
32619	Other Plastics Product ManufacturingT 
326191	Plastics Plumbing Fixture Manufacturing 
326199	All Other Plastics Product Manufacturing 
3262	Rubber Product ManufacturingT 
32621	Tire ManufacturingT 
326211	Tire Manufacturing (except Retreading) 
326212	Tire Retreading 
32622	Rubber and Plastics Hoses and Belting ManufacturingT 
326220	Rubber and Plastics Hoses and Belting Manufacturing
32629	Other Rubber Product ManufacturingT 
326291	Rubber Product Manufacturing for Mechanical Use 
326299	All Other Rubber Product Manufacturing 
327	Nonmetallic Mineral Product ManufacturingT 
3271	Clay Product and Refractory ManufacturingT 
32711	Pottery, Ceramics, and Plumbing Fixture ManufacturingT 
327110	Pottery, Ceramics, and Plumbing Fixture Manufacturing 
32712	Clay Building Material and Refractories ManufacturingT 
327120	Clay Building Material and Refractories Manufacturing 
3272	Glass and Glass Product ManufacturingT 
32721	Glass and Glass Product ManufacturingT 
327211	Flat Glass Manufacturing 
327212	Other Pressed and Blown Glass and Glassware Manufacturing 
327213	Glass Container Manufacturing 
327215	Glass Product Manufacturing Made of Purchased Glass 
3273	Cement and Concrete Product ManufacturingT 
32731	Cement ManufacturingT 
327310	Cement Manufacturing
32732	Ready-Mix Concrete ManufacturingT 
327320	Ready-Mix Concrete Manufacturing
32733	Concrete Pipe, Brick, and Block ManufacturingT 
327331	Concrete Block and Brick Manufacturing 
327332	Concrete Pipe Manufacturing 
32739	Other Concrete Product ManufacturingT 
327390	Other Concrete Product Manufacturing 
3274	Lime and Gypsum Product ManufacturingT 
32741	Lime ManufacturingT 
327410	Lime Manufacturing
32742	Gypsum Product ManufacturingT 
327420	Gypsum Product Manufacturing
3279	Other Nonmetallic Mineral Product ManufacturingT 
32791	Abrasive Product ManufacturingT 
327910	Abrasive Product Manufacturing
32799	All Other Nonmetallic Mineral Product ManufacturingT 
327991	Cut Stone and Stone Product Manufacturing 
327992	Ground or Treated Mineral and Earth Manufacturing 
327993	Mineral Wool Manufacturing 
